movieId,title,genres,description
1,Inception,Sci-Fi Thriller,A thief who enters dreams to steal secrets is given a chance at redemption.
2,Interstellar,Sci-Fi Drama,A team of astronauts travels through a wormhole in search of a new home for humanity.
3,The Dark Knight,Action Crime,A vigilante faces a criminal mastermind known as the Joker.
4,Avatar,Sci-Fi Adventure,A marine on an alien planet becomes torn between duty and loyalty.
5,Titanic,Romance Drama,A young couple from different social classes fall in love aboard a doomed ship.
6,The Matrix,Sci-Fi Action,A hacker discovers reality is a simulation and joins a rebellion.
7,The Prestige,Drama Mystery,Two rival magicians engage in a dangerous battle of deception.
8,Shutter Island,Thriller Mystery,A U.S. Marshal investigates a psychiatric facility on a remote island.
9,Gravity,Sci-Fi Thriller,Two astronauts struggle to survive after an accident in space.
10,Arrival,Sci-Fi Drama,A linguist works with the military to communicate with alien visitors.
11,Gladiator,Action Drama,A betrayed Roman general seeks revenge in the arena.
12,The Notebook,Romance Drama,A touching love story that spans many years.
13,John Wick,Action Thriller,A retired assassin seeks vengeance after a personal tragedy.
14,Avengers Endgame,Action Superhero,The Avengers assemble for one final battle to save the universe.
15,Doctor Strange,Sci-Fi Superhero,A surgeon learns mystical arts after a life-changing accident.
16,Iron Man,Action Superhero,A billionaire engineer builds a powerful armored suit.
17,Tenet,Sci-Fi Thriller,A secret agent manipulates time to prevent global destruction.
18,The Martian,Sci-Fi Adventure,An astronaut stranded on Mars must survive using science.
19,Fight Club,Drama Thriller,An office worker forms an underground fight club with a soap salesman.
20,The Shawshank Redemption,Drama,A banker forms a friendship while serving time in prison.